2026-06-24 02:35:03 status unpacked libperl5.36:arm64 5.36.0-7+deb12u3
2026-06-24 02:35:03 install perl:arm64 <none> 5.36.0-7+deb12u3
2026-06-24 02:35:03 status half-installed perl:arm64 5.36.0-7+deb12u3
2026-06-24 02:35:03 status unpacked perl:arm64 5.36.0-7+deb12u3
2026-06-24 02:35:03 install libpython3.11-minimal:arm64 <none> 3.11.2-6+deb12u7
2026-06-24 02:35:03 status half-installed libpython3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:03 status unpacked libpython3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:03 install libexpat1:arm64 <none> 2.5.0-1+deb12u2
2026-06-24 02:35:03 status half-installed libexpat1:arm64 2.5.0-1+deb12u2
2026-06-24 02:35:03 status unpacked libexpat1:arm64 2.5.0-1+deb12u2
2026-06-24 02:35:03 install python3.11-minimal:arm64 <none> 3.11.2-6+deb12u7
2026-06-24 02:35:03 status half-installed python3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:03 status unpacked python3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:03 startup packages configure
2026-06-24 02:35:03 configure libpython3.11-minimal:arm64 3.11.2-6+deb12u7 <none>
2026-06-24 02:35:03 status unpacked libpython3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:03 status half-configured libpython3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:03 status installed libpython3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:03 configure libexpat1:arm64 2.5.0-1+deb12u2 <none>
2026-06-24 02:35:03 status unpacked libexpat1:arm64 2.5.0-1+deb12u2
2026-06-24 02:35:03 status half-configured libexpat1:arm64 2.5.0-1+deb12u2
2026-06-24 02:35:03 status installed libexpat1:arm64 2.5.0-1+deb12u2
2026-06-24 02:35:03 configure python3.11-minimal:arm64 3.11.2-6+deb12u7 <none>
2026-06-24 02:35:03 status unpacked python3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:03 status half-configured python3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:04 status installed python3.11-minimal:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:04 startup archives unpack
2026-06-24 02:35:04 install python3-minimal:arm64 <none> 3.11.2-1+b1
2026-06-24 02:35:04 status half-installed python3-minimal:arm64 3.11.2-1+b1
2026-06-24 02:35:04 status unpacked python3-minimal:arm64 3.11.2-1+b1
2026-06-24 02:35:04 install media-types:all <none> 10.0.0
2026-06-24 02:35:04 status half-installed media-types:all 10.0.0
2026-06-24 02:35:04 status unpacked media-types:all 10.0.0
2026-06-24 02:35:04 install libtirpc-common:all <none> 1.3.3+ds-1
2026-06-24 02:35:04 status half-installed libtirpc-common:all 1.3.3+ds-1
2026-06-24 02:35:04 status unpacked libtirpc-common:all 1.3.3+ds-1
2026-06-24 02:35:04 install libtirpc3:arm64 <none> 1.3.3+ds-1
2026-06-24 02:35:04 status half-installed libtirpc3:arm64 1.3.3+ds-1
2026-06-24 02:35:04 status unpacked libtirpc3:arm64 1.3.3+ds-1
2026-06-24 02:35:04 install libnsl2:arm64 <none> 1.3.0-2
2026-06-24 02:35:04 status half-installed libnsl2:arm64 1.3.0-2
2026-06-24 02:35:04 status unpacked libnsl2:arm64 1.3.0-2
2026-06-24 02:35:04 install libpython3.11-stdlib:arm64 <none> 3.11.2-6+deb12u7
2026-06-24 02:35:04 status half-installed libpython3.11-stdlib:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:04 status unpacked libpython3.11-stdlib:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:04 install python3.11:arm64 <none> 3.11.2-6+deb12u7
2026-06-24 02:35:04 status half-installed python3.11:arm64 3.11.2-6+deb12u7
2026-06-24 02:35:04 status unpacked python3.11:arm64 3.11.2-6+deb12u7
